Date,TransactionCount,TotalSales,TotalQuantity,AvgTransactionValue
2023-01-01,550,2508.2,802,4.56
2023-01-02,566,2403.35,790,4.25
2023-01-03,582,2565.0,823,4.41
2023-01-04,497,2220.1,726,4.47
2023-01-05,547,2418.85,778,4.42
2023-01-06,509,2273.85,736,4.47
2023-01-07,546,2349.75,783,4.3
2023-01-08,536,2288.05,773,4.27
2023-01-09,516,2193.68,706,4.25
2023-01-10,584,2422.25,837,4.15
2023-01-11,539,2229.15,760,4.14
2023-01-12,518,2119.8,743,4.09
2023-01-13,601,2693.2,926,4.48
2023-01-14,545,2156.15,739,3.96
2023-01-15,631,2605.2,895,4.13
2023-01-16,602,2440.85,830,4.05
2023-01-17,503,2067.15,719,4.11
2023-01-18,559,2323.55,798,4.16
2023-01-19,590,2449.3,832,4.15
2023-01-20,553,2149.2,742,3.89
2023-01-21,565,2484.55,846,4.4
2023-01-22,483,2252.05,760,4.66
2023-01-23,576,2632.75,872,4.57
2023-01-24,572,2623.25,867,4.59
2023-01-25,570,2655.05,893,4.66
2023-01-26,569,2608.2,870,4.58
2023-01-27,568,2581.8,875,4.55
2023-01-28,470,2037.1,672,4.33
2023-01-29,459,2060.75,652,4.49
2023-01-30,458,2017.38,667,4.4
2023-01-31,433,1879.53,616,4.34
2023-02-01,546,2466.3,796,4.52
2023-02-02,569,2506.9,814,4.41
2023-02-03,586,2591.45,834,4.42
2023-02-04,584,2551.7,834,4.37
2023-02-05,533,2304.7,748,4.32
2023-02-06,489,2203.4,712,4.51
2023-02-07,533,2247.45,756,4.22
2023-02-08,576,2457.35,815,4.27
2023-02-09,540,2255.62,738,4.18
2023-02-10,613,2598.3,896,4.24
2023-02-11,548,2250.3,765,4.11
2023-02-12,576,2404.85,841,4.18
2023-02-13,577,2618.4,888,4.54
2023-02-14,551,2195.5,760,3.98
2023-02-15,594,2510.6,848,4.23
2023-02-16,606,2519.05,839,4.16
2023-02-17,523,2138.65,725,4.09
2023-02-18,561,2329.1,794,4.15
2023-02-19,664,2715.3,920,4.09
2023-02-20,600,2461.15,833,4.1
2023-02-21,530,2305.55,796,4.35
2023-02-22,569,2702.8,899,4.75
2023-02-23,541,2500.95,820,4.62
2023-02-24,589,2775.0,918,4.71
2023-02-25,559,2605.65,871,4.66
2023-02-26,584,2668.8,888,4.57
2023-02-27,649,2901.5,993,4.47
2023-02-28,511,2311.1,744,4.52
2023-03-01,661,3040.25,968,4.6
2023-03-02,673,2996.05,963,4.45
2023-03-03,710,3155.15,1010,4.44
2023-03-04,624,2781.9,897,4.46
2023-03-05,675,2945.3,952,4.36
2023-03-06,587,2618.05,836,4.46
2023-03-07,618,2602.6,872,4.21
2023-03-08,705,3027.4,990,4.29
2023-03-09,680,2852.35,935,4.19
2023-03-10,720,2989.4,1021,4.15
2023-03-11,664,2789.7,977,4.2
2023-03-12,640,2636.25,920,4.12
2023-03-13,705,3211.0,1085,4.55
2023-03-14,647,2540.4,874,3.93
2023-03-15,681,2847.85,960,4.18
2023-03-16,731,2982.65,1010,4.08
2023-03-17,659,2640.3,908,4.01
2023-03-18,692,2840.2,962,4.1
2023-03-19,696,2822.4,959,4.06
2023-03-20,702,2820.65,955,4.02
2023-03-21,621,2686.75,920,4.33
2023-03-22,652,2990.4,997,4.59
2023-03-23,679,3113.35,1025,4.59
2023-03-24,701,3344.5,1094,4.77
2023-03-25,673,3109.7,1035,4.62
2023-03-26,655,3093.1,1022,4.72
2023-03-27,755,3451.6,1168,4.57
2023-03-28,626,2792.55,897,4.46
2023-03-29,582,2492.0,812,4.28
2023-03-30,622,2713.64,900,4.36
